"cond","SID","survey_name","item","value","article_number","content","article_cond"
"social","s041","comment","1","Because it contains a guide to help individuals reduce their carbon footprint. I believe some people that I know want to take part to promote a healthier environment to save our earth from global warming, however, they don't know what to do or where to start.",51,"climate","social"
"social","s042","comment","1","Why the Wilder Storms? It's a 'Loaded Dice' Problem
Global warming is bringing an era of wilder, more dangerous rains. 
The good news is that we're getting better at evacuating flood zones. 
The bad news is everything else.",15,"climate","control"
"self","s043","comment","1","The California wild fires.  If only the democrats would stop hugging trees and actually do proper forest management, this would not happen.",17,"climate","control"
"social","s045","comment","1","A small study looked into people with a metabolic disorder may benefit from supplements of a common gut bacterium",74,"health","control"
"self","s046","comment","1","it describes that nuclear power which affect you personal and cause environment more bad",51,"climate","self"
"self","s048","comment","1","Explaining why the word keeps using coal despite certain disadvantages.",43,"climate","control"
"social","s049","comment","1","Drinking less sugar drinks improves health.",94,"health","control"
"self","s051","comment","1","Probiotics could be useful for obese people with metabolic disorders.",74,"health","control"
"self","s052","comment","1","Since I am overweight this means a lot to me.",8,"health","self"
"social","s053","comment","1","It gives a sense of perspective on how far we have to go to in order to limit carbon emissions in our electrical grid.",93,"climate","social"
"self","s054","comment","1","I am belief that the highest calling of leadership is to respect the potential in others.",89,"climate","self"
"social","s055","comment","1","I know people who have suffered from eating disorder(s). This article would be relateable to them.",96,"health","social"
"self","s056","comment","1","Lawsuits about climate change has moved inland.",105,"climate","control"
"self","s057","comment","1","Men have been trying to control the climate and failed since the history of our world. We all need to pitch in and save our planet.",37,"climate","self"
"self","s058","comment","1","A Dr. with cancer started a company to research the cancer he has.",24,"health","control"
"social","s062","comment","1","Cancers that are associated with excessive weights have the highest rates in certain states. They are more prevalent in the South, Midwest, Alaska and Washington D.C. while they were less prevalent in Mountain States, New England and Hawaii.",54,"health","control"
"self","s063","comment","1","It doesn't, except that it pisses me off to see people act so stupidly.",23,"climate","self"
"self","s064","comment","1","the US blocking climate change declaration for the Arctic",35,"climate","control"
"social","s065","comment","1","This matters to people I know because a lot of them are eco-friendly, and this would help so much with buying a hybrid or electric car.",73,"climate","social"
"social","s066","comment","1","The court system dismissed Exxon's case about climate",3,"climate","control"
"self","s067","comment","1","I have family members with some heart issues, so it is scary to read about all the different outcomes that are associated with heart disease.",82,"health","self"
"social","s068","comment","1","It's about harming endangered animals for money.",89,"climate","control"
"self","s069","comment","1","With the pandemic raging it is so important to me to stay healthy for myself and my kids.",100,"health","self"
"self","s070","comment","1","Everyone should get tested for Sleep Apnea! It is more than snoring.",106,"health","control"
"social","s072","comment","1","Is climate change causing more floods and what makes a flood ""catastrophic""?",25,"climate","control"
"social","s073","comment","1","This matters because climate change will affect people that I know.",45,"climate","social"
"social","s074","comment","1","We can all make a difference in reducing our city's air pollution",107,"climate","social"
"social","s075","comment","1","eating disorder is sometimes unhappy",96,"health","social"
"self","s076","comment","1","This article matters to me because it shows that as a nation we are showing compassion for our environment and the creatures that live in it",19,"climate","self"
"social","s078","comment","1","It matters to people I know because it has to do with the future of our well being.",75,"climate","social"
"social","s079","comment","1","no one likes air pollution",107,"climate","social"
"self","s080","comment","1","Babies who eat solid food sooner are able to sleep longer at night.",44,"health","control"
"social","s081","comment","1","It would help the environment",73,"climate","social"
"self","s082","comment","1","This article is about the perfect diet to prevent kidney stones.",46,"health","control"
"social","s083","comment","1","Scientists don't know much about CBD and its effects.",88,"health","control"
"self","s084","comment","1","Moving is good for the brain.",14,"health","control"
"social","s085","comment","1","This article is about the affects of eating deli meat on peoples' health.",28,"health","control"
"self","s086","comment","1","A study found that dietary supplements can be dangerous.",10,"health","control"
"self","s089","comment","1","Diet supplements can be very dangerous for your health.",10,"health","control"
"social","s090","comment","1","This doctor is taking a personal cancer experience and trying to do something about it.",24,"health","control"
"social","s092","comment","1","Global warming is really coming.",85,"climate","control"
"self","s093","comment","1","I am not a liberal so I dont care about climate change I worry about living till I die.",103,"climate","self"
"self","s095","comment","1","Overview of a study where simple and short weight training can help you build strength",48,"health","control"
"social","s097","comment","1","We should all be thinking about climate change and who we elect might just save our lives.",75,"climate","social"
"social","s099","comment","1","so now neither red nor white meat is good for you.",50,"health","control"
"social","s100","comment","1","This article matters to people I know because it has information on how to stay safe when water rises (flooding).",25,"climate","social"
"self","s101","comment","1","The United States blocked a positive environmental legislation.",35,"climate","control"
"social","s103","comment","1","The article is about whether your recyclables get recycled or not.",49,"climate","control"
"self","s104","comment","1","This article is about the correlation between having difficulties hearing and getting into accidents.",90,"health","control"
"self","s106","comment","1","This article matters because I have a carbon footprint that impacts the world around me.",51,"climate","self"
"social","s108","comment","1","This effects everyone that has to deal with severe weather.",15,"climate","social"
"social","s110","comment","1","HEALTH IS WEALTH WE NEED TO BE SAFE...",22,"health","social"
"self","s111","comment","1","The article is about why we should ditch single use plastic straws for the environment.",55,"climate","control"
"self","s112","comment","1","Climate change affects all of us. I want our wildlife to have a safe environment for years to come.",91,"climate","self"
"self","s113","comment","1","Its about a new substance that doesn't have a lot of background information from scientists and it is unknown.",88,"health","control"
"social","s114","comment","1","There are more and more ad campaigns for raising awareness for climate change.",95,"climate","control"
"social","s115","comment","1","We had flooding in my state 2 years ago. Nobody was ready for it, only half the people in my town even had sump pumps. In the Midwest particularly, people are not ready for the coming effects of climate change such as flooding.",53,"climate","control"
"social","s116","comment","1","Dogs and humans do will sleeping together. Makes sense as my dog is my bestfriend. It matters to others to have that assurance",38,"health","social"
"social","s117","comment","1","banana contains high vitamins",68,"health","social"
"self","s118","comment","1","This is important step in protecting our planet.",19,"climate","self"
"self","s119","comment","1","A report from ""13 federal agencies"" warn global warming could affect the GDP by 2100.",9,"climate","control"
"social","s120","comment","1","Races may get interesting to those of us who aren't athletic",62,"health","control"
"self","s121","comment","1","It may make me more physically able.",72,"health","self"
"social","s122","comment","1","Because we have to live on this planet.",99,"climate","social"
"social","s123","comment","1","This article is about a major oil company's abuse of the legal system to block research on climate change.",3,"climate","control"
"self","s124","comment","1","This article matters to me because climate change is something we must all pay attention too. The younger generation is really great with this.",65,"climate","self"
"social","s125","comment","1","Why countries are still burning coal.",43,"climate","control"
"social","s126","comment","1","to avoid waste of food and the precaution of not to waste the food",20,"health","social"
"self","s127","comment","1","if weather is not good , so they judgement are waited",3,"climate","control"
"self","s130","comment","1","This matters to me personally because I don't want kidney stones! They're painful!",46,"health","self"
"self","s132","comment","1","America is accused of needing to do more for climate",1,"climate","control"
"social","s133","comment","1","I don't understand people who don't ""believe"" in climate change.",97,"climate","social"
"social","s134","comment","1","Most of my friends are female so knowing which foods can increase risk, especially if they have a family history, is very important since cancer is awful.",52,"health","social"
"social","s136","comment","1","The article is about how the slow use of government aid spending has resulted in billions of unspent recovery fund dollars while disasters are still multiplying.",13,"climate","control"
"social","s137","comment","1","more than two dozen Law makers, lobbyist and administration have joined together to propose the removal protection of species and weaken the law of protection.",89,"climate","control"
"social","s139","comment","1","Solar power led the way in 2017, but it's still just a small percentage of the world's electricity sources.",93,"climate","control"
"social","s140","comment","1","Romantic partner involvement in treating eating disorders",96,"health","control"
"self","s141","comment","1","PAssing an enviormental bill",19,"climate","control"
"self","s143","comment","1","E.U leader fails.net carbon emission bloc.2050 failed.",41,"climate","control"
"self","s145","comment","1","Climate change will increase the number of climate-related disasters.",99,"climate","control"
"self","s146","comment","1","These stories always have me worrying about how humans do not treat precious life the way they should.",101,"climate","self"
"self","s147","comment","1","It matters to me because we could potentially allocate that saved money to other issues and benefit us.",12,"health","self"
"self","s149","comment","1","Societies' activity also one of the reason of climate change.",75,"climate","control"
"social","s150","comment","1","It's about changes in lifestyles to decrease the likelihood of having a heart attack.",84,"health","control"
"self","s151","comment","1","California is a beautiful state. It's very sad to read about the devastating fires taking place. It's a horrible experience for the people of California to lose all they worked so hard for. 
We must take efforts to stop the fires",17,"climate","self"
"social","s153","comment","1","Drilling in Arctic Wildlife Refuge closer to approval by senate",61,"climate","control"
"self","s155","comment","1","This article matters to me because I am also passionate about climate change.",65,"climate","self"
"social","s156","comment","1","Because when fires spread people have to leave their homes to get out of harm's way. Sometimes, that is just a major inconvenience but sometimes they come back to find their home and all of their belongings are gone. If invasive grasses worsen fires then we need to know this and do something about it.",63,"climate","social"
"self","s157","comment","1","The article about say some matters.",19,"climate","self"
"social","s159","comment","1","PROTECT PLANTS AND SAVE HEALTH",22,"health","social"
"self","s160","comment","1","this article is about questioning whether the cities are recycling or not",49,"climate","control"
"self","s161","comment","1","ARTICLE MATTERS TO ME PERSONALLY BECAUSE OF THE POSSIBLE WEIGHT LOSS STRATEGY THAT TO SKIP BREAKFAST BEFORE EXERCISE",0,"health","self"
"social","s163","comment","1","Good advice from Tom Colicchio to buy the produce you need when you need it and not earlier.",20,"health","control"
"social","s166","comment","1","This article matters to people I know because Climate Change is real and affects people in their daily lives. It will be interesting to read about how automakers plan to change to keep up with demand for ""cleaner and greener"" autos.",71,"climate","social"
"self","s167","comment","1","The article is about cholesterol medication increasing the risk of skin infections.",80,"health","control"
"self","s168","comment","1","This is an article about genetically modified organisms.",102,"health","control"
"social","s170","comment","1","this article will motivate some of my athletic frieds",62,"health","social"
"self","s172","comment","1","I really feel like we waste too much and consuming less helps the environment.",31,"climate","self"
"social","s177","comment","1","People I know care about their health.",28,"health","social"
"self","s178","comment","1","I've been to some of these places and it would be a shame to lose them.  They are global treasures.",85,"climate","self"
"self","s184","comment","1","Because health is important as I age.",98,"health","self"
"social","s185","comment","1","Disposable cleaning products",47,"climate","control"
"self","s186","comment","1","It is very important news to me.My uncle having an obesity.He tried very hard to loss his weight.",54,"health","self"
"self","s187","comment","1","This article is about a person who found ways to stretch money after moving from a wealthy lifestyle in Korea to living in poverty in California.",70,"health","control"
"social","s189","comment","1","It would be nice if young people would use their energy to vote.",27,"climate","social"
"social","s191","comment","1","It's about human's used plastic things",79,"climate","control"
"self","s192","comment","1","This article is about reducing your use of disposable plastic items.",55,"climate","control"
"self","s193","comment","1","This one is related to know the persons who suffer from cancer and give a treatment.",104,"health","control"
"self","s194","comment","1","It is interesting to see how men and women differe",36,"health","self"
"self","s195","comment","1","Cleanliness is healthy and helpful.",47,"climate","self"
"self","s196","comment","1","The article matters to me because it discusses the important issue of Climate Change that affects everyone",35,"climate","self"
"social","s197","comment","1","Exploration in Artic wildlife may harm the wildlife i animals i guess , so people i know will oppose it",61,"climate","social"
"self","s198","comment","1","This is about the program called BOKS program which is making children feel happier and more energetic before the class.",86,"health","control"
"self","s200","comment","1","The article is about weight reduction program with in short period of time.",48,"health","control"
"social","s201","comment","1","We worry a lot about the future when it comes to climate change but this means we could lose our past even sooner!",85,"climate","social"
"self","s202","comment","1","Plastic bags is unhealthy so we go with papers in the grocery shop",57,"climate","control"
"social","s204","comment","1","I know a lot of old people who would probably be interested in cycling.",18,"health","social"
"social","s205","comment","1","Everyone has a grandmother and can relate to their grandparents' ways.",70,"health","social"
"social","s206","comment","1","It is very must for childerns",86,"health","social"
"self","s207","comment","1","I am at risk for several of these health issues and I choose to control my sweet tooth because of it.",4,"health","self"
"self","s208","comment","1","flood insurance most important for everyone",53,"climate","self"
"social","s210","comment","1","What automakers know about climate science.",71,"climate","control"
"self","s211","comment","1","This article matters to me because it's a clear indication that our elected leaders are not taking climate change seriously, nor are they taking into consideration what the general public wants. Most people do not want oil or gas exploration in the Arctic National Wildlife Refuge.",61,"climate","self"
"self","s212","comment","1","Pictures from youth climate",109,"climate","control"
"social","s214","comment","1","dont worry about consuming this after exercising",40,"health","social"
"social","s215","comment","1","As shown elsewhere, this confirms the shifting temperature baseline!",91,"climate","social"
"social","s216","comment","1","It is about global warming.",15,"climate","control"
"self","s217","comment","1","It appears that obesity might not be that big of a factor in cardiovascular disease after all.",108,"health","control"
"social","s218","comment","1","It was usage of plastics and reusability",55,"climate","control"
"self","s219","comment","1","It suggests skipping breakfast before exercise.",0,"health","control"
"social","s222","comment","1","A New Year’s resolution so common, it’s almost a cliché: “This year, I’ll lose weight.” The new year is already running and we start to picture ourselves several pounds lighter and flaunting a svelte figure in a bikini, the kind of figure that will have us rummaging in our closets for those jeans we haven’t worn in years and sliding onto the dance floor eager to show off our moves and confidence.",8,"health","control"
"self","s223","comment","1","This article matters to me personally because I want to stay healthy and vibrant as I age.",84,"health","self"
"self","s224","comment","1","A program helps children with before school activities.",86,"health","control"
"social","s227","comment","1","A place to live is the basic need for every human being",23,"climate","social"
"self","s230","comment","1","The article is about sugary drinks and how they have no health benefits. Sugary drinks are bad for me and can complicate my health problems with sugar.",32,"health","control"
"self","s234","comment","1","This gives me hope that the biggest polluters might change their ways.",87,"climate","self"
"social","s235","comment","1","Is to improve all forms of assistance subject to action  Their machines beautifully showcase the processes they need considering the development of the staff as well",81,"climate","social"
"social","s236","comment","1","This is important! people in california are a risk and because of the increasing of areas affected by drought, the rest of us might be at risk too!",17,"climate","social"
"self","s237","comment","1","VITAMIN D WAS IMPORTANT DURING PREGNANCY",60,"health","self"
"self","s242","comment","1","This is important because it helps bring awareness to this most pressing issue.",95,"climate","self"
"self","s243","comment","1","Invasive grass species are increasing the risk fo wildfires",63,"climate","control"
"social","s246","comment","1","This is about sleep apnea.",106,"health","control"
"self","s248","comment","1","This article instigate me to think about children's health. Because so much of children in US grows without proper immunity level. Exercising will helps to develop children's health and also it reduces stress level.",12,"health","self"
"social","s249","comment","1","Solar is something  we need to be using more of",93,"climate","control"
"self","s250","comment","1","The article is about recycling wrong things. We cannot and should not recycle every things. For example some kind of plastics cannot be recycled.",69,"climate","control"
"social","s251","comment","1","This might matter for people I know who are overweight or care very much about their current weight.",6,"health","social"
"social","s255","comment","1","It matters to people I know because I live in Florida, which is projected to be underwater at some point in the not so distant future. What that means is, since I live in Florida, everyone else I know lives in Florida.",59,"climate","social"
"social","s257","comment","1","glacier collapse   is dangerous ...",45,"climate","social"
"self","s258","comment","1","Kincade fire in California",17,"climate","control"
"social","s259","comment","1","This article gives one nice message so I was explain this article matters to the people",96,"health","social"
"self","s260","comment","1","Recycling is an important part of environmental control",55,"climate","self"
"social","s261","comment","1","Climate change affects us all, and thus, this affects all of us.",41,"climate","social"
"self","s262","comment","1","This is why i stay away from most processed meats lately.",52,"health","self"
"social","s265","comment","1","This article might sound an alarm to those who drink soda continually.  Compelling reasons to cut the habit.",4,"health","social"
"self","s268","comment","1","It tells me about how other eastern countries would not agree because of their heavy use of coal",41,"climate","control"
"social","s270","comment","1","It would made a better world for us in future",55,"climate","social"
"self","s273","comment","1","exercise without dieting might not help you lose weight",6,"health","control"
"social","s274","comment","1","It was good and very interesting",4,"health","control"
"social","s275","comment","1","Being overweight could cause cancer.",54,"health","control"
"self","s276","comment","1","It was about the climate changes in now and they give tips for how to reduce food waste.",11,"climate","control"
"self","s277","comment","1","cycling helps to keep our bones healthy",98,"health","control"
"self","s278","comment","1","This is good to know! I am trying to manage my cholesterol levels.",50,"health","self"
"social","s279","comment","1","It have no health benefits so this article matters to people to know",32,"health","social"
"self","s280","comment","1","It matters to me because it shows no matter what you eat you can still have health problems.",50,"health","self"
"self","s281","comment","1","This book will help parents learn how to make sure their kids eat healthy.",2,"health","control"
"social","s283","comment","1","because people want to know as much as possible about cancer",28,"health","social"
"self","s287","comment","1","It's about how different people walk and the pace that they walk in.",36,"health","control"
"self","s288","comment","1","This is ridiculous if true. How is fuel in-efficiency good for the American public?",29,"climate","self"
"social","s292","comment","1","A wealthy Korean grandmother and her grandchild save money with McDonald's fast food upon relocating to California.",70,"health","control"
"social","s294","comment","1","This Article is about people not having discipline in their eating habit when they do exercise.",78,"health","control"
"social","s295","comment","1","It's about using AI to prevent breast cancer.",104,"health","control"
"self","s297","comment","1","This would be so hard for me, I love hummus and black beans!",26,"health","self"
"social","s299","comment","1","This article is about floods  and climate changes.",25,"climate","control"
"social","s300","comment","1","it will help them reduce the consumption of red meat as this may affect their health",52,"health","social"
"self","s301","comment","1","It is important to protect people and property from the threat of wildfires.",63,"climate","self"
"social","s303","comment","1","It's about climate change. So it's important to people",97,"climate","social"
"self","s305","comment","1","Hearing loss leads to more accidents.",90,"health","control"
"social","s307","comment","1","because it discourages eating unhealthy food",4,"health","social"
"self","s308","comment","1","I need to exercise more to reduce my weight.",56,"health","self"
"self","s311","comment","1","This article is about a big problem with recycling. A lot of our recycling is ending up in landfills now that China is no longer taking as much of it.",49,"climate","control"
"self","s313","comment","1","Possible benefits of a before-school exercise program.",86,"health","control"
"self","s314","comment","1","I believe that climate change is an issue that everyone should work towards solving. Joining a strike demonstrates that many people still care about climate change and demand more than our leaders' inaction on the subject.",27,"climate","self"
"social","s316","comment","1","It is about a change in economic status and the use of McDonalds to make their money go further.",70,"health","control"
"self","s318","comment","1","Informative article about contributing factors to getting colds or flu.",100,"health","control"
"self","s319","comment","1","Physical exercise is very important to human health",72,"health","control"
"self","s320","comment","1","It is about the nutrients in tomatoes and spinach",42,"health","control"
"self","s321","comment","1","this has lot of claims",88,"health","self"
"social","s322","comment","1","It is beneficial to add intensity to your workouts.",56,"health","control"
"self","s324","comment","1","Talks about a gut bacteria that could make people run faster.",72,"health","control"
"social","s326","comment","1","This article is about some fitness oriented. Now a days people are very craze in body building I am not against it but the more supplements may cause side effects so this article matters.",10,"health","social"
"social","s327","comment","1","traditional healthy tip usually misleading person's concept",40,"health","social"
"social","s328","comment","1","This article matters to people I know because I know people that live on both the east and west coast",59,"climate","social"
"social","s329","comment","1","This article is important to people I know because it is addressing one of the issues of climate change.  This is not only important to the people I know but everyone on the planet.  It is important because if we do not address it our species could become extinct.",7,"climate","social"
"self","s330","comment","1","My best friend died from cancer so this is very personal for me.",24,"health","self"
"self","s331","comment","1","The food was yummy and tasty!",70,"health","self"
"social","s335","comment","1","so they know they importance of family and ways to showcase love",70,"health","social"
"self","s337","comment","1","The article explains the health benefits of eating plant-based foods high in flavonoids. It may help prevent death due to cancer and cardiovascular disease.",22,"health","control"
"social","s338","comment","1","Obesity is a health risk and the 'obesity paradox' fails to be substantiated.",108,"health","control"
"social","s344","comment","1","I think this will be good mothers. It will help improve the strength of your child's teeth when he/she is growing",60,"health","social"
"self","s345","comment","1","This is why you should start using a green energy provider.",83,"climate","control"
"social","s348","comment","1","There is a lot of pressure on the bone",98,"health","control"
"social","s349","comment","1","being environmentally responsible by reducing plastic usage",55,"climate","control"
"social","s352","comment","1","This article help will help people to be fit and it will help to improve someone's health",56,"health","social"
"social","s353","comment","1","This article is about eating food.",78,"health","social"
"self","s358","comment","1","It was indirectly influenced in my life",3,"climate","self"
"self","s360","comment","1","We need to appreciate the resolution because of our next generation will get a better and safe life. We have do something for our future life too",31,"climate","control"
"social","s361","comment","1","This article, from Chef Tom Colicchio, recommends only purchasing produce by the day, so you won't waste what you don't use.",20,"health","control"
"social","s363","comment","1","It matters to people who cares about environment. 
Mix climate issues with a unimportant drone being captured by a reporter.",1,"climate","social"
"social","s364","comment","1","The Vaquita mammal is rare and almost extinct in nature!",101,"climate","control"
"self","s368","comment","1","It's about avoiding breakfast before exercise as a weight loss strategy",0,"health","control"
"self","s371","comment","1","Global warming is causing more and more severe types of storms.",15,"climate","control"
"social","s372","comment","1","More fluids like water and good juice everyday is good for our bodies and prevents other illness as we get older.",46,"health","social"
"self","s373","comment","1","Keeping healthy is the only way forward.",4,"health","self"
"self","s375","comment","1","There are some members of my family and social circles that are obese and have Chronic Illnesses due to that. I do not. I never judge them or get after them but try to ""lead and instruct"" by example. This would be a good option or at least a good and novel ""conversation starter"" about obesity.",74,"health","self"
"social","s380","comment","1","Policy makers were able to gain authorization to use a coal mine.",21,"climate","control"
"social","s386","comment","1","it is about how perfume can pollute the air as much as cars do",107,"climate","control"
"self","s387","comment","1","less sugary drink consumption leads to better health",94,"health","control"
"social","s390","comment","1","the us could save the $120 billion a year for the sedentary children",12,"health","control"
"self","s394","comment","1","best of wilderness for environmental protection",19,"climate","control"
"social","s395","comment","1","because to tell the real news or tell the truth and also for to stop the fake news",88,"health","social"
"social","s396","comment","1","Parents make kids fat.",92,"health","control"
"social","s399","comment","1","This will help us be able to afford hybrids and electric cars.",73,"climate","social"
"social","s400","comment","1","It can help my child for development.",86,"health","social"
"self","s401","comment","1","Yes the dog felt like one of the member on the family, dogs has a good relationship with humans and its sleeping on the same bed with human is reasonably well as a dog person it felts very personal to me.",38,"health","self"
"self","s402","comment","1","It's about how our government is reacting to reduce the climate change",35,"climate","self"
"social","s403","comment","1","oil and gas companies getting sued by states",105,"climate","control"
"social","s406","comment","1","People I know care about being healthy and happy and exercise is a big part of that.",56,"health","social"
"self","s411","comment","1","i like very much of Olympic and very interest game  and $1 million prize was saved",5,"climate","self"
"self","s412","comment","1","flu and cold challenge for immunity .have high power immunity not affect the cold and flu",100,"health","self"
"self","s414","comment","1","This article is about a potential algal along the coast in Friday that's toxic and harmful to wildlife.",39,"climate","control"
"self","s415","comment","1","Good inputs from wise people on health",64,"health","self"
"self","s418","comment","1","It is about a mammal that is going extinct.",101,"climate","control"
"self","s419","comment","1","poor hearing being associated with more injuries",90,"health","control"
"social","s420","comment","1","Every child will consume only mother's milk on during this six months.",44,"health","social"
"self","s421","comment","1","I have experienced a major Earth quake before and I can understand the fear of natural disasters.",15,"climate","self"
"self","s422","comment","1","This means that I'll have to find some other way to ease my sore muscles.",40,"health","self"
"social","s423","comment","1","Exercise is not enough to lose weight.",6,"health","control"
"self","s425","comment","1","This article is about how exercise keeps a person's body younger.",18,"health","control"
"self","s432","comment","1","This article is important to me because I can relate to it.  I sometimes eat more when I exercise and feel frustrated when I don't lose more weight.",78,"health","self"
"self","s434","comment","1","climate change is one of the important cases in the world",25,"climate","self"
"social","s435","comment","1","It is a heartwarming story and it is good for the people around me to know life should not be taking for grounded.",70,"health","social"
"social","s436","comment","1","Have a influence of how the US deals the global warming.",75,"climate","control"
"self","s437","comment","1","because its just like a magazine to useful to me",104,"health","self"
"self","s439","comment","1","It matters, because I am alive and living on this planet. Unless more law suits are brought against big corporations that put profits instead of the environment, the destruction of our planet will continue.",105,"climate","self"
"social","s442","comment","1","I cook most of tomatoes because they taste better. tomatoes have nutrient and also in spinach. there is also the oxalic factor in cooking spinach or eating it raw.",42,"health","social"
"self","s444","comment","1","This article matters to me because climate change has bad effects on human",27,"climate","self"
"self","s445","comment","1","dance well is good for health",14,"health","control"
"self","s446","comment","1","I live in the Midwest and I don't have flood insurance.",53,"climate","self"
"social","s448","comment","1","It matters because people like me notice that having a dog in the room helps us sleep. It's validating to us to know that there is actual evidence that we aren't just imagining the correlation.",38,"health","social"
"self","s449","comment","1","I am more aware of my health, so this article is important to me personally.",84,"health","self"
"self","s450","comment","1","I worry about my own higher-protein diet.",26,"health","self"
"social","s453","comment","1","daily using things so this article matters to people",57,"climate","social"
"social","s454","comment","1","Skier wants to save snow and scientists win money.",5,"climate","control"
"self","s456","comment","1","Because i am one of the natural lover",79,"climate","self"
"self","s457","comment","1","I am currently pregnant and this information could help my future child.",30,"health","self"
"social","s460","comment","1","This is about a book that promotes healthy eating for children.",2,"health","control"
"social","s462","comment","1","Some scientific findings on obesity.",108,"health","control"
"social","s463","comment","1","this would encourage people to take care of their body regularly",58,"health","social"
"social","s466","comment","1","It matters to people I know because they are keeping people healthy and saving money.",12,"health","social"
"social","s467","comment","1","Korea is improve by the American fast food.",70,"health","social"
"social","s470","comment","1","About whether cooking tomato and spinach cause the nutrients to change.",42,"health","control"
"self","s471","comment","1","I've often wondered if everything I put in the recycle bin gets recycled or if I'm just causing more work and more trash.",49,"climate","self"
"social","s473","comment","1","it's about a Swedish girl solitry act",65,"climate","control"
"self","s475","comment","1","Climate change will effect not only us but for generations to come. We really need to clean things up",71,"climate","self"
"self","s478","comment","1","This article is for parents to understand the benefits of the program which helps to consider sending the kids to attend the program.",86,"health","self"
"social","s479","comment","1","basically telling how you can be recycling wrong",69,"climate","control"
"self","s481","comment","1","Because I have considered taking these supplements but they might kill me.",10,"health","self"
"self","s482","comment","1","This article matters to me because I care about the future of the planet and of the survival of the human race.  If coal is continued to be used as a fossil fuel, then this will worsen global warming, disrupt weather patterns and cause coastal cities to eventually flood.  I don't want everything that the human race has accomplished so far to be for naught.  Money should not obscure logic and common sense.",43,"climate","self"
"self","s483","comment","1","After years of being told to avoid high-impact activities like running, it looks like we've been letting our bones atrophy. I don't want to be frail and brittle when I get old!",98,"health","self"
"social","s485","comment","1","Foods to avoid to prevent kidney stones",46,"health","control"
"self","s487","comment","1","Article is about environmental and nuclear power",51,"climate","control"
"social","s488","comment","1","its about being vegan and have food restrictions because of gout",26,"health","control"
"self","s490","comment","1","The effect of antioxidants on after exercise soreness.",40,"health","control"
"social","s492","comment","1","It's important to encourage children to exercise because habits learned in childhood are carried into adulthood.  It often is hard to make big changes later in life.  One of my best friends was never encouraged to exercise and has struggled since adulthood with obesity and sticking to a workout routine.",12,"health","social"
"self","s493","comment","1","Exercise can keep you healthy and young",18,"health","control"
"social","s494","comment","1","The global warming is changing the climate, for some country's are very effective to the incident",95,"climate","control"
"social","s495","comment","1","This article matters to some people i know who are trying to achieve a healthier state of being.
By understanding its about quality and not quantity could make it seem more do-able",8,"health","social"
"self","s496","comment","1","not so good about this article",24,"health","control"
"social","s497","comment","1","This article is about a proposed incentive to buy electric or hybrid cars.",73,"climate","control"
"social","s498","comment","1","A lot of my friends have different places in ancient Rome and Greece on their ""bucket list"" of places to travel before they die.  Because they've assumed these places will aways be there, they haven't prioritized travel yet -- but I'm sure they would be quite sad if they never get to see the things they read about Western Civ.",85,"climate","social"
